id;nazwa;cena;skladniki;url;typ_wlosow;typ_skory;porowatosc_wlosow
1198;Korres;64;aqua, sodium laureth sulfate, cocamidopropyl betaine, glycerin, laureth-7 citrate, acrylates copolymer, glycol distearate, althaea officinalis root extract, benzyl alcohol, butylene glycol, coco-glucoside, coumarin, decyl glucoside, dicaprylyl ether, glyceryl oleate, glyceryl stearate, guar hydroxpropyltrimonium chloride, hydrolyzed wheat protein, hydrolyzed wheat starch, lactitol, levulinic acid, limonium gerberi extract, linalool, linum usitatissimum seed extract, niacinamide, origanum dictamnus flower, origanum majorana leaf extract, panthenol, parfum, polyquaternium-10, potassium sorbate, prunus amygdalus dulcis fruit extract, salicylic acid, sideritis syriaca extract, sodium benzoate, sodium cocoamphoacetate, sodium hydroxide, sodium levulinate, sorbic acid, tetrasodium glutamate diacetate, xanthan gum, xylitol;https://www.hebe.pl/korres-szampon-z-wyciagiem-z-migdalow-i-olejem-lnianym-do-wlosow-suchych-250-ml-000000000000530920.html;krecone/falowane;tlusta/lupiez;wysoka
1199;Biolage Advanced Fulldensity;77;aqua, sodium laureth sulfate, sodium lauryl sulfate, coco-betaine, hexylene glycol, sodium chloride, parfum, glycol distearate, sodium hydroxide, citric acid, alcohol denat, polyquaternium-30, hydroxypropyl guar hydroxypropyltrimonium chloride, carbomer, limonene, hexyl cinnamal, coumarin, benzyl alcohol, magnesium nitrate, linalool, salicylic acid, amyl cinnamal, zinc pca, biotin, safflower glucoside, geraniol, isoeugenol, alpha-isomethyl ionone, methylchoroisothiazolinone, magnesium chloride, methylisothiazolinone, tocopherol, sodium citrate;https://www.hebe.pl/biolage-szampon-zageszczajacy-wlosy-250-ml-70852799.html;normalne;tlusta/lupiez;niska
1200;Noah 1,7;67;aqua, sodium coco-sulfate, cocamidopropyl betaine, sodium olivamphoacetate, myristyl lactate, decyl glucoside, dicaprylyl ether, glyceryl oleate, mentha piperita leaf water, piper nigrum seed oil, mentha piperita oil, eucalyptus globulus leaf oil, panax ginseng root extract, arginine, acetyl tyrosine, arctium majus root extract, hydrolyzed soy protein, calcium pantothenate, zinc gluconate, niacinamide, ornithine hcl, citrulline, glucosamine hcl, biotin, sodium chloride, citric acid, benzoic acid, dehydroacetic acid, phenoxyethanol, tetrasodium glutamate diacetate, menthol, limonene, camphor, eucalyptol;https://www.hebe.pl/noah-pobudzajacy-szampon-do-wlosow-z-wyciagiem-z-miety-i-czarnego-pieprzu-250-ml-60933299.html;normalne;normalna;niska
1201;Goldwell Dualsenses Scalp Specialist;52;water, sodium laureth sulfate, isobutane, decyl glucoside, propane, sodium cocoamphoacetate, tilia cordata flower extract, octyldodecyl pca, sodium pca, peg-7 glyceryl cocoate, panthenol, sodium chloride, hydroxypropyl guar hydroxypropyltrimonium chloride, citric acid, glycerin, propylene glycol, butane, polyquaternium-10, maltodextrin, sorbi- tol, sodium acetate, saccharomyces lysate extract, isopropyl alcohol;https://www.hebe.pl/goldwell-szampon-w-piance-do-wrazliwej-skory-glowy-250-ml-43933398.html;krecone/falowane;normalna;srednia
1202;Klorane Peony Hair;52;triticum vulgare starch, sodium cocoyl isethionate, disodium lauryl sulfosuccinate, cetearyl alcohol, water, glycerin, hydrogenated castor oil, zea mays starch, paeonia lactiflora root extract, acrylamidopropyltrimonium chloride, cocamidopropyl betaine, decyl glucoside, fragrance, propylene glycol, red 33;https://www.hebe.pl/klorane-szampon-do-wlosow-w-kostce-z-organiczna-piwonia-80-g-77159511.html;normalne;normalna;srednia
1203;Nioxin System 4;99;aqua, sodium laureth sulfate, sodium lauryl sulfate, citric acid, sodium chloride, ppg-2 hydroxyethyl coco, sodium citrate, sodium xylenesulfonate, sodium benzoate, salicylic acid, sodium hydroxide, tetrasodium edta, mentha piperita oil, mentha arvensis leaf oil, menthol, trisodium ethylenediamine disuccinate, methylparaben, polyquaternium-10, propylene glycol, camellia sinensis leaf extract, cystine bis-pg-propyl silanetriol, biotin, lecithin, niacinamide, panthenol, tocopheryl acetate, foeniculum vulgare fruit extract, sodium acetate, isopropyl alcohol, ci 19140, faex extract, acer saccharum extract, citrus limon peel extract, saccharum officinarum extract, vaccinium myrtillus leaf extract, ci 42090, citrus aurantium dulcis fruit extract, ci 17200, potassium sorbate;https://www.hebe.pl/nioxin-szampon-oczyszczajacy-do-wlosow-farbowanych-mocno-przerzedzonych-300-ml-000000000000577904.html;krecone/falowane;tlusta/lupiez;srednia
1204;Soap for Globe Balance;49;sodium coco-sulfate, sodium cocoyl isethionate, disodium lauryl sulfosuccinate, equisetum arvense extract, urtica dioica leaf extract, zeolite, ppg 3 benzyl ether myristate, solanum tuberosum starch, panthenol, sodium lauroyl glycinate, laureth-23, cetearyl alcohol, dipropylene glicol, ethyltrimonium chloride, hydrolyzed wheat protein copolymer, polyquaternium-70, dipropylene glycol, aqua, sodium benzoate, polysilicone-29, ci 42090, ci 19140, potassium sorbate, parfum;https://www.hebe.pl/soap-for-globe-szampon-w-kostce-do-skory-glowy-z-tendencja-do-przetluszczania-sie-z-wyciagiem-z-pokrzywy-80-g-49335029.html;normalne;normalna;wysoka
1205;Jozka Baby;55;melissa, aqua, avena, sodium, glycerin, lauryl, decyl, coco, glyceryl, sodium, malva, centaurea, chaenomeles, tocopherol, sclerotium, xanthan, citric, benzyl, dehydroacetic, sodium, potassium, sodium;https://www.hebe.pl/jozka-delikatny-plyn-do-mycia-ciala-i-wlosow-dla-dzieci-300-ml-75544201.html;normalne;normalna;srednia
1206;Aveda Botanical Repair;464;wateraqua, sodium cocoyl isethionate, sodium methyl cocoyl taurate, sodium lauryl sulfoacetate, propanediol, babassuamidopropyl betaine, sodium hydroxypropylsulfonate laurylglucoside crosspolymer, sodium chloride, persea gratissima oil, plukenetia volubilis seed oil, camellia oleifera seed oil, octyldodecyl citrate crosspolymer, hydroxypropylgluconamide, hydroxypropylammonium gluconate, bis-ethyl isostearamide, acrylates copolymer, glycol distearate, hydroxypropyl guar hydroxypropyltrimonium chloride, benzyl alcohol, fragrance, linalool, eugenol, geraniol, amyl cinnamal, benzyl salicylate, citronellol, hydroxycitronellal, citral, benzyl benzoate, limonene, sodium hydroxide, tartaric acid, citric acid, sodium phytate, sodium benzoate, potassium sorbate, phenoxyethanol;https://www.hebe.pl/aveda-wzmacniajacy-szampon-do-wlosow-zniszczonych-1000-ml-77177163.html;normalne;normalna;niska
1207;Chicco Baby Moments;54;aqua, cocamdopropyl deta, disodium laureth sulfosuccinate, glycerin, peg-200 hydrogenated palmate, phenoxyethanol, parfum, decyl glucoside, hexanediol, peg-polygeryl cocoate, benzoyl cocorate, sodium gluconate, coco-glucoside, glyceryl cleate, calendula officinalis extract;https://www.hebe.pl/chicco-szampon-do-mycia-ciala-i-wlosow-0m-750-ml-77167334.html;normalne;normalna;srednia
1208;Herbs&Hydro Raspberry & Vanilla;70;sodium cocoyl isethionate, kaolin, cetyl alcohol, distearoylethyl dimonium chloride, theobroma cacao seed butter, cetearyl alcohol, illite, hippophae rhamnoides fruit oil, rubus idaeus seed oil, cannabis sativa seed oil, butyrospermum parkii butter, caprylyl capryl glucoside, squalane, tocopheryl acetate, panthenol, aloe barbadensis leaf juice, glycerin, parfum, helianthus annuus seed oil, aqua, vanilla planifolia fruit extract, citric acid, sodium benzoate, potassium sorbate;https://www.hebe.pl/herbshydro-doskonala-kostka-uniwersalna-malina-i-wanilia-refill-65-g-56607602.html;normalne;sucha/wrazliwa;srednia
1209;Groomen Aqua;39;aqua, cocamidopropyl betaine, sodium coco-sulfate, coco-glucoside, glycerin, parfum, fucus vesiculosus extract, enteromorpha compressa extract, porphyra umbilicalis extract, undaria pinnatifida extract, lithothamnion calcareum extract, panthenol, allantoin, sodium benzoate, potassium sorbate, sodium chloride, citric acid, potassium sorbate, sodium benzoate, benzyl salicylate, limonene, linalool;https://www.hebe.pl/groomen-szampon-do-wlosow-300-ml-48133298.html;normalne;sucha/wrazliwa;srednia
1210;Reuzel Tea Tree;84;water, sodium laureth sulfate, cocamidopropyl betaine, sodium lauryl sulfate, harnamelis virginiana leaf extract, melaleuca alternifolia leaf oil, equisetum arvense extract, urtica dioica extract, rosmarinus officinalis leaf extract, menthol, glycerin, citric acid, guar hydroxypropyltrimonium chloride, fragrance, polyquaternium-7, sodium chloride, limonene, benzyl alcohol, dehydroacetic acid;https://www.hebe.pl/reuzel-wielofunkcyjny-szampon-do-wlosow-i-ciala-350-ml-46038750.html;normalne;normalna;srednia
1211;Inebrya Ice Cream Frequent;49;aqua, sodium laureth sulfate, sodium cocoamphoacetate, sodium myreth sulfate, cocamidopropyl betaine, sodium chloride, citric acid, limonene, guar hydroxypropyltrimonium chloride, parfum, triethylene glycol, polyquaternium-7, propylene glycol, benzyl alcohol, benzyl benzoate, linalool, panthenol, phenoxyethanol, calophyllum inophyllum seed oil, butyrospermum parkii butter, aloe barbadensis leaf juice, citrus aurantium dulcis juice, methylchloroisothiazolinone methylisothiazolinone, magnesium chloride, magnesium nitrate, ci 14700, ci 19140, ethylhexylglycerin, sorbic acid, benzoic acid, potassium sorbate, sodium benzoate, sodium sulfite;https://www.hebe.pl/inebrya-szampon-regenerujacy-do-codziennego-stosowania-1000-ml-58548788.html;normalne;sucha/wrazliwa;srednia
1212;Flora & Curl Soothe Me;89;aqua, caprylyl glucoside, sorbitol, cocamidopropyl betaine, decyl glucoside, caprylic triglyceride, xanthan gum, lavandula angustifolia flower water, apium graveolens seed extract, lavandula angustifulia oil, simmondsia chinensis seed oil, salvia officinalis oil, cedrus atlantica bark oil, eucalyptus globulus leaf oil, mentha piperita oil, rosmarinus officinalis leaf oil, melaleuca alternifolia leaf oil, pelargonium graveolens flower oil, menthol, menthyl lactate, salix alba bark extract, aloe barbadensis leaf juice powder, citric acid, sodium benzoate, potassium sorbate, benzyl alcohol, sodium chloride, helianthus anuus seed oil, tocopherol, geraniol, linalool, limonene;https://www.hebe.pl/flora-curl-odswiezajacy-szampon-do-wlosow-kreconych-300-ml-77166930.html;normalne;sucha/wrazliwa;niska
1213;Organique Pour Homme;39;aqua, sodium cocoamphoacetate, cocamidopropyl betaine, glycerin, rosmarinus officinalis, guar hydroxypropyltrimonium chloride, hydrolyzed silk, argania spinosa kernel extract, serenoa serrulata fruit extract, sesamum indicum seed extract, ceramide 3, ceramide 6 ii, ceramide 1, phytosphingosine, cholesterol, sodium lauroyl lactylate, carbomer, xantan gum, phenoxyethanol, ethylhexylglycerin, parfum, benzyl alcohol, cinnamal, citral, coumarin, eugenol, limonene, linalool;https://www.hebe.pl/organique-szampon-do-wlosow-dla-mezczyzn-250-ml-000000000000405363.html;normalne;normalna;srednia
1214;Soap&Friends Nerolissimo;89;aqua, aloe barbadensis leaf juice, decyl glucoside, lauryl glucoside, xanthan gum, glycerin, potassium sorbate, thymus vulgaris flower/leaf extract, citrus aurantium amara peel oil, citric acid, citrus aurantium amara flower oil, citrus sinensis peel oil expressed, citrus bergamia peel oil expressed, limonene;https://www.hebe.pl/soapfriends-delikatny-szampon-do-wlosow-300-ml-77159648.html;normalne;sucha/wrazliwa;srednia
1215;MagMari Optimum;60;aqua, sodium laureth sulfate, cocamidopropyl betaine, glycerin, sodium chloride, polyquternium-7, peg-7 glyceryl cocoate, cocamide dea, parfum, tetrasodium edta, sorbitol, sodium pca, sodium lactate, caprylyl glycol, glycol distearate, cocamide mea, styrene/acrylates copolymer, hydrolyzed keratin, citric acid, dmdm hydantoin, methylchloroisothiazolinone, methylisothiazolinone;https://www.hebe.pl/magmari-szampon-gleboko-oczyszczajacy-do-codziennej-pielegnacji-1000-ml-77522709.html;normalne;normalna;wysoka
1216;Insight Daily Use;129;oryza sativa starch, tapioca starch, zeolite, pumice, kaolin, plankton extract, melia azadirachta seed oil, parfum, tetramethyl acetyloctahydronaphthalenes, linalyl acetate, acetylcedrene;https://www.hebe.pl/insight-naturalny-suchy-szampon-do-wlosow-zwiekszajacy-objetosc-40-g-76971996.html;normalne;normalna;niska
1217;Biacré Resorge Green Theraphy;69;aqua, ammonium lauryl sulfate, cocamidopropyl betaine, sodium lauroyl methyl isethionate, disodium laureth sulfosuccinate, calendula officinalis flower extract, tilia cordata flower extract, camellia sinensis leaf extract, glycerin, myristyl lactate, polyquaternium-10, tetrasodium glutamate, diacetate, citric acid, parfum, phenoxyethanol, caprylyl glycol, chlorphenesin, benzyl alcohol, linalool;https://www.hebe.pl/biacre-szampon%C2%A0nawilzajacy-do-wlosow%C2%A0suchych-250-ml-000000000000488621.html;krecone/falowane;normalna;srednia
1218;Ecoderma;54;aqua, sodium coco-sulfate, glycerin, cocamidopropyl betaine, disodium laureth sulfosuccinate, sodium lauryl sulfoacetate, fructose, glucose, bambusa arundinacea leaf extract, inulin, oryza sativa bran oil, sodium gluconate, xanthan gum, sodium chloride, decyl glucoside, cellulose, cellulose gum, parfum, citric acid, sodium benzoate, potassium sorbate;https://www.hebe.pl/ecoderma-nawilzajacy-szampon-do-wlosow-500-ml-000000000000434561.html;normalne;normalna;srednia
1219;Abril et Nature Nature Plex;91;aqua, sodium laureth sulfate, dimethicone, sodium lauroamphoacetate, acrylates copolymer, cetyl alcohol, glycol distearate, cocamide mea, parfum, guar hydroxypropyltrimonium chloride, sodium hydroxide, sodium chloride, citric acid, propylene glycol, diazolidinyl urea, iodopropynyl butylcarbamate, polyquaternium-6, polyquaternium-22, styrene, malus domestica extract, xanthan gum, glycerin, lecithin, phenoxyethanol, sodium hyaluronate, hydrolyzed keratin, potassium sorbate, hydrolyzed vegetable protein pg-propyl silanetriol, caviar extract, hydrolyzed wheat protein, sodium benzoate, alpha isomethyl ionone, benzyl salicylate, citronellol, coumarin, limonene, linalool;https://www.hebe.pl/abril-et-nature-naprawczy-szampon-do-wlosow-z-plexem-250-ml-73650325.html;puszace/suche;normalna;wysoka
1220;maru.derm Hair Repair;44;`aqua, disodium laureth sulfosuccinate, glycerin, cocamidopropyl betaine, peg-7 glyceryl cocoate, propylene glycol, argania spinosa kernel oil, salix alba bark extract, panthenol, cocos nucifera oil, arginine, hydrolyzed soy protein, hydrolyzed corn protein, hydrolyzed wheat protein, aspartic acid, glycine, alanine, serine, valine, proline, threonine, isoleucine, histidine, phenylalanine, sodium pca, allantoin, sodium lactate, butylene glycol, laureth-9, sorbitol, tocopheryl acetate, pca, citric acid, trideceth-5, amodimethicone, parfum, sodium hydroxide, phenoxyethanol, ethylhexylglycerin, tetrasodium edta, parfum`;https://www.hebe.pl/maru.derm-szampon-naprawczy-do-wlosow-400-ml-000000000000581975.html;puszace/suche;sucha/wrazliwa;wysoka
1221;Nioxin Scalp Recovery;99;water, sodium laureth sulfate, peg-3 distearate, sodium laureth-8 sulfate, sodium chloride, cocamidopropyl betaine, acrylates/steareth-20 methacrylate copolymer, magnesium laureth-8 sulfate, magnesium laureth sulfate, sodium oleth sulfate, fragrance, sodium benzoate, citric acid, dmdm hydantoin, mentha arvensis leaf oil, mentha piperita oil, magnesium oleth sulfate, sodium hydroxide, polyquaternium-10, propylene glycol, benzoic acid, linalool, hexyl cinnamal, camellia sinensis leaf extract, sodium polynaphthalenesulfonate, benzyl alcohol, limonene, geraniol, cellulose gum, yeast extract, niacinamide, tocopheryl acetate, panthenol, biotin, lecithin, ethoxydiglycol, maltodextrin, methylparaben, glucose, propylparaben, lactic acid, achillea millefolium extract, betula alba leaf extract, urtica dioica extract, salvia officinalis leaf extract, rosmarinus officinalis leaf extract, equisetum arvense extract, potassium sorbate, calcium pantothenate, inositol, tartaric acid, caramel;https://www.hebe.pl/nioxin-oczyszczajacy-szampon-przeciwlupiezowy-do-swedzacej-skory-glowy-200-ml-000000000000578381.html;krecone/falowane;normalna;srednia
1222;Soap for Globe Waves & Curls;49;sodium coco-sulfate, sodium cocoyl isethionate, disodium lauryl sulfosuccinate, simmondsia chinensis seed oil, ppg 3 benzyl ether myristate, isoamyl laurate, panthenol, solanum tuberosum starch, sodium lauroyl glycinate, laureth-23, cetearyl alcohol, dipropylene glicol, ethyltrimonium chloride, hydrolyzed wheat protein copolymer, polyquaternium-70, dipropylene glycol, sodium benzoate, polysilicone-29, potassium sorbate, aqua, ci 42090, ci 19140, parfum;https://www.hebe.pl/soap-for-globe-szampon-w-kostce-do-wlosow-falowanych-i-kreconych-z-olejem-jojoba-80-g-49335032.html;normalne;normalna;wysoka
1223;Alfaparf Semi Di Lino Scalp Balancing;107;aqua, sodium cocoyl isethionate, disodium laureth sulfosuccinate, cocamidopropyl betaine, coconut acid, acrylates copolymer, phenoxyethanol, sodium chloride, piroctone olamine, glycol distearate, polyquaternium-22, sodium isethionate, laureth-4, sodium hydroxide, lactic acid, ethylhexylglycerin, polyquaternium-7, sodium benzoate, laureth-2, peg/ppg-120/10 trimethylolpropane trioleate, butylene glycol, lysine carboxymethyl cysteinate, barosma betulina leaf extract, lysine thiazolidine carboxylate, alpha-glucan oligosaccharide, carnosine, ethylhexyl methoxycinnamate, lactococcus ferment lysate, glycerin, linum usitatissimum seed extract, biosaccharide gum-4, caesalpinia spinosa gum, potassium sorbate;https://www.hebe.pl/alfaparf-niskopieniacy-szampon-do-wlosow-przetluszczajacych-sie-1000-ml-39588260.html;normalne;tlusta/lupiez;srednia
1224;Kevin Murphy Stimulate-Me.Wash;142;water, sodium c14-16 olefin sulfonate, cocamidopropyl betaine, sodium methyl cocoyl taurate, piper nigrum seed extract, piper nigrum seed oil, keratin amino acids, camphor, biotinoyl tripeptide-1, glycine soja oil, mentha piperita oil, citrus aurantium bergamia fruit oil, mentha arvensis leaf oil, menthol, apigenin, oleanolic acid, glycerin, butylene glycol, propylene glycol, butyloctanol, hydroxypropyl guar hydroxypropyltrimonium chloride, cetrimonium chloride, silicone quaternium-16, ppg-26-buteth-26, undeceth-11, cocamidopropyl hydroxysultaine, sodium lauroyl methyl isethionate, sodium methyl 2-sulfolaurate, disodium 2-sulfolaurate, peg-40 hydrogenated castor oil, peg-2 cocamide, undeceth-5, peg-120 methyl glucose dioleate, polyquaternium-7, disodium edta, phenoxyethanol, potassium sorbate, sodium benzoate, iodopropynyl butylcarbamate, citric acid, sodium hydroxide, limonene, isoeugenol;https://www.hebe.pl/kevin-murphy-odswiezajacy-szampon-dla-mezczyzn-250-ml-72322746.html;normalne;normalna;srednia
1225;Goldwell DualSenses Curls & Waves;121;aqua, sodium laureth sulfate, sodium lauroyl sarcosinate, lauryl hydroxysultaine, peg-3 distearate, sodium chloride, ethylhexylglycerin, lactic acid, polyquaternium-10, amodimethicone, peg-150 pentaerythrityl tetrastearate, ppg-2 hydroxyethyl cocamide, panthenol, sodium pca, glycerin, c12-14 pareth-12, octyldodecyl pca, butylene glycol, ppg-9, c11-15 pareth-7, laureth-9, trideceth-12, hydrolyzed milk protein, acetic acid, glycoproteins, salix nigra bark extract, sodium benzoate, benzoic acid, phenoxyethanol, potassium sorbate, fragrance, citronellol, limonene, linalool, green 3, yellow 5;https://www.hebe.pl/goldwell-nawilzajacy-szampon-do-wlosow-kreconych-i-falowanych-1000-ml-60088125.html;krecone/falowane;normalna;srednia
1226;Sachajuan Scalp Shampoo;129;aqua, sodium laureth sulfate, cocamidopropyl betaine, sodium, chloride, piroctone olamine, climbazole, hydrolyzed wheat protein, c12-13 alkyl lactate, lactic acid, butylene glycol, zingiber officinale root extract, salicylic acid, menthol, rosmarinus officinalis leaf oil, polysorbate 20, sodium benzoate, potassium sorbate, sorbic acid;https://www.hebe.pl/sachajuan-szampon-oczyszczajacy-do-skory-glowy-250-ml-41968171.html;normalne;tlusta/lupiez;wysoka
1227;Garden Supernatural Shampoo Oily Hair;59;aqua, sodium laureth sulfate, cocamidopropyl betaine, glycerin, sodium lauroamphoacetate, decyl glucoside, citric acid, peg-40 hydrogenated castor oil, polyquaternium-7, sodium chloride, sodium benzoate, parfum, peg-120 methyl glucose dioleate, potassium sorbate, guar hydroxypropyltrimonium chloride, panthenol, disodium edta, ppg-26-buteth-26, urtica dioica leaf extract, menthyl lactate, aloe barbadensis leaf juice, citral;https://www.hebe.pl/garden-szampon-do-wlosow-przetluszczajacych-sie-250-ml-73506581.html;normalne;sucha/wrazliwa;srednia
1228;Ida Warg Repair;89;aqua, sodium lauroyl methyl isethionate, cocamidopropyl betaine, disodium laureth sulfosuccinate, sodium lauryl sulfoacetate, glycerin, glycol distearate, cystoseira compressa extract, zea mays starch, guar hydroxypropyltrimonium chloride, peg-150 pentaerythrityl tetrastearate, ppg-2 hydroxyethyl cocamide, benzoic acid, dehydroacetic acid, lactic acid, gluconolactone, sodium benzoate, calcium gluconate, sodium chloride, phenoxyethanol, benzyl salicylate, benzyl alcohol, linalool;https://www.hebe.pl/ida-warg-szampon-do-wlosow-regenerujacy-250-ml-54197030.html;normalne;normalna;srednia
1229;Wella Professionals Invigo Color Brilliance;45;aqua, sodium lauryl sulfate, sodium laureth sulfate, cocamidopropyl betaine, dimethicone, glycol distearate, cocamide mea, parfum, sodium benzoate, citric acid, guar hydroxypropyltrimonium chloride, glycerin, salicylic acid, tocopheryl acetate, tetrasodium edta, sodium chloride, limonene, trisodium ethylenediamine disuccinate, methylparaben, glyoxylic acid, sodium hydroxide, linalool, hexyl cinnamal, hydrochloric acid, microcitrus australasica fruit extract, magnesium nitrate, methylchloroisothiazolinone, magnesium chloride, sodium citrate, methylisothiazolinone, sodium xylenesulfonate;https://www.hebe.pl/wella-professionals-szampon-do-wlosow-cienkich-i-normalnych-100-ml-000000000000487205.html;puszace/suche;tlusta/lupiez;srednia
1230;Wella Professionals Oil Reflections;149;woda, laurylosiarczan sodu, lauretosiarczan sodu, kokamidopropylobetaina, ksylenosulfonian sodu, cytrynian sodu, pantenol, perfumy, chlorek sodu, benzoesan sodu, kwas cytrynowy, hydroksypropylometyloceluloza, kwas salicylowy, sól sodowa kwasu sodowego, sól sodowa troksaminy, sól sodowa troksaminy, metyloparaben, heksylocynamon, glikol propylenowy, linalol, izometyl alfa-jononowy, ekstrakt z liści camellia sinensis;https://www.hebe.pl/wella-professionals-szampon-przywracajacy-wlosom-blask-250-ml-000000000000487194.html;normalne;normalna;niska
1231;Londa Professional Impresive Volume;54;woda, laurylosiarczan sodu, chlorek sodu, ksylenosulfonian sodu, kokamidopropylobetaina, cytrynian sodu, benzoesan sodu, kwas cytrynowy, perfumy, kwas salicylowy, tetrasodium edta, metyloparaben, hydroksypropylometyloceluloza, jonon alfa-izometylowy, wyciąg z cymbopogon citratus, ekstrakt z kwiatu cereus grandiflorus, liść, glikol propylenowy, heksylocynamon, fenoksyetanol, sorbinian potasu, propyloparaben, etyloparaben, butyloparaben;https://www.hebe.pl/londa-professional-szampon-dodajacy-objetosci-250-ml-000000000000529701.html;normalne;normalna;niska
1232;Sebastian Professional Penetraitt;104;woda, laurylosiarczan sodu, siarczan sodu laurylowy, kokamidopropylobetaina, distearynian glikolu, dimetikon, cytrynian sodu, kokamid mea, ksylenosulfonian sodu, substancja zapachowa, benzoesan sodu, kwas cytrynowy, pantenol, chlorek sodu, kwas salicylowy, glicerynowy chlorek hydroksypropylotrimoniowy guar, lilal, heksylocynamon, hydroksyizoheksylo, linalool, kwas solny, salicylan benzylu, cytronellol, azotan magnezu, metylochloroizotiazolinon, chlorek magnezu, metyloizotiazolinon;https://www.hebe.pl/sebastian-professional-szampon-wzmacniajacy-do-wlosow-250-ml-000000000000531142.html;normalne;normalna;niska
1233;Goldwell Dualsenses Ultra Volume;60;pentane, dimethyl ether, alcohol denat, tapioca starch, octyldodecyl pca, sodium pca, water, polymethylsilsesquioxane, panthenol, glycerin, fragrance, limonene;https://www.hebe.pl/goldwell-suchy-szampon-do-wlosow-250-ml-43933271.html;normalne;normalna;srednia
1234;Wella Professionals ColorMotion+;111;aqua, sodium laureth sulfate, cocamidopropyl betaine, parfum, polyquaternium-10, panthenol, sodium benzoate, citric acid, sodium xylenesulfonate, salicylic acid, tocopheryl acetate, disodium edta, trisodium ethylenediamine disuccinate, histidine, methylparaben, sodium hydroxide, glyoxylic acid, linalool, limonene, geraniol, citronellol, sodium chloride, sodium acetate, bht, sodium citrate;https://www.hebe.pl/wella-professionals-szampon-chroniacy-kolor-wlosow-1000-ml-66169965.html;krecone/falowane;tlusta/lupiez;srednia
1235;Aveda Blonde Revival;167;wateraqua eau, sodium cocoyl isethionate, propanediol, glyceryl oleate, coco-glucoside, sodium methyl cocoyl taurate, babassuamidopropyl betaine, hydroxypropyl starch phosphate, glycol stearate, guar hydroxypropyltrimonium chloride, glycerin, passiflora edulis seed oil, euterpe oleracea fruit oil, oryza sativa bran oil, tocopherol, sodium chloride, citric acid, limonene, citronellol, amyl cinnamal, geraniol, hydroxycitronellal, sodium phytate, potassium sorbate, sodium benzoate, phenoxyethanol, ext violet 2;https://www.hebe.pl/aveda-fioletowy-szampon-tonujacy-do-wlosow-blond-200-ml-77177091.html;normalne;normalna;srednia
1236;Bingospa;29;aqua, sodium laureth sulfate, sodium dodecylbenzenesulfonate, cocamide dea, sodium chloride, glycerin, fucus vesiculosus extract, laminaria digitata extract, spirulina maxima extract, porphyra umbilicalis extract, ascophyllum nodosum extract, sodium benzoate, potassium sorbate, gluconolactone, calcium gluconate, styrene acrylates copolymer, benzyl alcohol, benzoic acid, sorbic acid, citric acid, parfum, c.i.19140;https://www.hebe.pl/bingospa-szampon-borowinowy-i-5-ziol-wzbogacony-olejem-arganowym-300-ml-66449088.html;normalne;normalna;srednia
1237;Echosline Keratin Veg;66;aqua, disodium laureth sulfosuccinate, cocamidopropyl betaine, sodium cocoamphoacetate, peg-7 glyceryl cocoate, erythritol, acrylates copolymer, phenoxyethanol, parfum, xanthan gum, guar hydroxypropyltrimonium chloride, polyquaternium-10, ethylhexylglycerin, citric acid, potassium sorbate, argania spinosa kernel oil, soy amino acids, wheat amino acids, threonine, serine, arginine hcl, benzyl alcohol, sodium benzoate;https://www.hebe.pl/echosline-regenerujacy-szampon-do-wlosow-1000-ml-70852684.html;krecone/falowane;normalna;srednia
1238;Arkemusa Color Plus;38;aqua, sodium laureth sulfate, sodium chloride, decyl glucoside, cocamidopropyl betaine, polyquaternium-10, polyquaternium-7, orbignya oleifera seed oil, zea mays germ oil, caulerpa lentillifera extract, papaver rhoeas petal extract, sodium hyaluronate, linseed acid, ethoxydiglycol, polysorbate 20, glycerin, benzophenone-4, citric acid, parfum, ci 19140, ci 17200, methylchloroisothiazolinone, methylisothiazolinone;https://www.hebe.pl/arkemusa-szampon-do-wlosow-farbowanych-500-ml-76971325.html;krecone/falowane;normalna;srednia
1239;Two Cosmetics Nourish&Repair;26;`sodium cocoyl isethionate, sodium lauryl sulfoacetate, zea mays starch, cocamidopropyl betaine, oryza sativa oil, hydrolysed rice protein, hydrolysed silk, perfume, leuconostoc, benzyl alcohol, dehydroacetic acid`;https://www.hebe.pl/two-cosmetics-szampon-staly-z-jedwabiem-proteinami-ryzowymi-i-zapachem-monoi-60-g-76247185.html;normalne;normalna;niska
1240;Abril et Nature Revitalizing;104;aqua, coco-glucoside, cocamidopropyl betaine, sodium cocoyl apple amino acids, caprylyl, cetyl hydroxyethylcellulose, hydrolyzed pea protein, hydrolyzed vegetable protein, glyceryl oleate, sodium hyaluronate, polyquaternium-7, pentaclethra macroloba seed oil, orbignya oleifera seed oil, propylene glycol, algae extract, polyquaternium-113, phenoxyethanol, hydrolyzed wheat protein, sodium hydroxide, sodium chloride, sodium benzoate, citric acid, benzoic acid, dehydroacetic acid, benzyl alcohol, potassium sorbate, parfum, citronellol, hexyl cinnamal, limonene, linalool;https://www.hebe.pl/abril-et-nature-szampon-do-wlosow-chroniacy-kolor-250-ml-73650333.html;normalne;normalna;wysoka
